id	tokens	ner_tags
0	['The', 'lemon', '(', 'Citrus', '×', 'limon', ')', 'is', 'a', 'species', 'of', 'small', 'evergreen', 'tree', 'in', 'the', 'flowering', 'plant', 'family', 'Rutaceae', ',', 'native', 'to', 'Asia', ',', 'primarily', 'Northeast', 'India', '(', 'Assam', ')', ',', 'Northern', 'Myanmar', ',', 'and', 'China', '.']	[[2], [3], [0], [2], [0], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
1	"['[', '2', ']', '\n', 'The', 'tree', ""'s"", 'ellipsoidal', 'yellow', 'fruit', 'is', 'used', 'for', 'culinary', 'and', 'non', '-', 'culinary', 'purposes', 'throughout', 'the', 'world', ',', 'primarily', 'for', 'its', 'juice', ',', 'which', 'has', 'both', 'culinary', 'and', 'cleaning', 'uses', '.']"	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
2	['[', '2', ']', 'The', 'pulp', 'and', 'rind', 'are', 'also', 'used', 'in', 'cooking', 'and', 'baking', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
3	['The', 'juice', 'of', 'the', 'lemon', 'is', 'about', '5–6', '%', 'citric', 'acid,[citation', 'needed', ']', 'with', 'a', 'pH', 'of', 'around', '2.2,[3', ']', 'giving', 'it', 'a', 'sour', 'taste', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
4	['The', 'distinctive', 'sour', 'taste', 'of', 'lemon', 'juice', ',', 'derived', 'from', 'the', 'citric', 'acid', ',', 'makes', 'it', 'a', 'key', 'ingredient', 'in', 'drinks', 'and', 'foods[4', ']', 'such', 'as', 'lemonade', 'and', 'lemon', 'meringue', 'pie', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
5	['The', 'lemon', 'tree', 'produces', 'an', 'ellipsoidal', 'yellow', 'fruit', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0]]
6	['Lemons', 'contain', 'numerous', 'phytochemicals', ',', 'including', 'polyphenols', ',', 'terpenes', ',', 'and', 'tannins', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
7	['[', '5', ']', 'Lemon', 'juice', 'contains', 'slightly', 'more', 'citric', 'acid', 'than', 'lime', 'juice', '(', 'about', '47', '\xa0', 'g', '/', 'L', ')', ',', 'nearly', 'twice', 'the', 'citric', 'acid', 'of', 'grapefruit', 'juice', ',', 'and', 'about', 'five', 'times', 'the', 'amount', 'of', 'citric', 'acid', 'found', 'in', 'orange', 'juice', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
8	['[', '6', ']', '\n', 'The', 'origin', 'of', 'the', 'lemon', 'is', 'unknown', ',', 'though', 'lemons', 'are', 'thought', 'to', 'have', 'first', 'grown', 'in', 'Assam', '(', 'a', 'region', 'in', 'northeast', 'India', ')', ',', 'northern', 'Myanmar', ',', 'or', 'China', '.']	[[0], [0], [3], [3], [3], [3], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
9	['[', '2][failed', 'verification', ']', 'A', 'genomic', 'study', 'of', 'the', 'lemon', 'indicated', 'it', 'was', 'a', 'hybrid', 'between', 'bitter', 'orange', '(', 'sour', 'orange', ')', 'and', 'citron', '.']	[[0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]
